ZONE I=5, J=5
0.125 0.5 0.981444
0.1875 0.5 0.971561
0.25 0.5 0.960668
0 0.625 0.999206
0.0625 0.625 0.995744
0.125 0.625 0.992252
0.1875 0.625 0.988729
0.25 0.625 0.985176
0 0.75 0.99985
0.0625 0.75 0.999157
0.125 0.75 0.998892
0.1875 0.75 0.999055
0.25 0.75 0.999647
0 0.875 1.00011
0.0625 0.875 1.00055
0.125 0.875 1.00136
0.1875 0.875 1.00254
0.25 0.875 1.00408
0 1 0.999988
0.0625 1 0.999936
0.125 1 0.999667
0.1875 1 0.999181
0.25 1 0.998477
ZONE I=5, J=5
0.25 0.5 0.960668
0.3125 0.5 0.960775
0.375 0.5 0.936783
0.4375 0.5 0.888693
0.5 0.5 0.816504
0.25 0.625 0.985176
0.3125 0.625 0.98602
0.375 0.625 0.975058
0.4375 0.625 0.95229
0.5 0.625 0.917716
0.25 0.75 0.999647
0.3125 0.75 1.0007
0.375 0.75 0.997949
0.4375 0.75 0.991385
0.5 0.75 0.981011
0.25 0.875 1.00408
0.3125 0.875 1.00483
0.375 0.875 1.00546
0.4375 0.875 1.00598
0.5 0.875 1.00639
0.25 1 0.998477
0.3125 1 0.998385
0.375 1 0.997583
0.4375 1 0.99607
0.5 1 0.993847
ZONE I=5, J=5
0.5 0.5 0.816504
0.5625 0.5 0.633527
0.625 0.5 0.391155
0.6875 0.5 0.0893885
0.75 0.5 -0.271773
0.5 0.625 0.917716
0.5625 0.625 0.839968
0.625 0.625 0.717553
0.6875 0.625 0.550472
0.75 0.625 0.338724
0.5 0.75 0.981011
0.5625 0.75 0.967403
0.625 0.75 0.923541
0.6875 0.75 0.849427
0.75 0.75 0.745058
0.5 0.875 1.00639
0.5625 0.875 1.01583
0.625 0.875 1.00912
0.6875 0.875 0.986252
0.75 0.875 0.947228
0.5 1 0.993847
0.5625 1 0.985256
0.625 1 0.97429
0.6875 1 0.960949
0.75 1 0.945234
ZONE I=5, J=5
0.75 0.5 -0.271773
0.8125 0.5 -0.548799
0.875 0.5 -0.746703
0.9375 0.5 -0.865486
1 0.5 -0.905148
0.75 0.625 0.338724
0.8125 0.625 0.09854
0.875 0.625 -0.141029
0.9375 0.625 -0.379982
1 0.625 -0.618319
0.75 0.75 0.745058
0.8125 0.75 0.562771
0.875 0.75 0.337012
0.9375 0.75 0.0677826
1 0.75 -0.244919
0.75 0.875 0.947228
0.8125 0.875 0.843894
0.875 0.875 0.68742
0.9375 0.875 0.477806
1 0.875 0.215052
0.75 1 0.945234
0.8125 1 0.94191
0.875 1 0.910195
0.9375 1 0.850089
1 1 0.761594
ZONE I=5, J=5
0 1 0.999988
0.0625 1 0.999936
0.125 1 0.999667
0.1875 1 0.999181
0.25 1 0.998477
0 1.125 0.999995
0.0625 1.125 0.999719
0.125 1.125 0.99934
0.1875 1.125 0.998859
0.25 1.125 0.998275
0 1.25 0.999999
0.0625 1.25 0.999614
0.125 1.25 0.999198
0.1875 1.25 0.998751
0.25 1.25 0.998274
0 1.375 1
0.0625 1.375 0.999621
0.125 1.375 0.99924
0.1875 1.375 0.998857
0.25 1.375 0.998474
0 1.5 1
0.0625 1.5 0.99974
0.125 1.5 0.999466
0.1875 1.5 0.999177
0.25 1.5 0.998876
ZONE I=5, J=5
0.25 1 0.998477
0.3125 1 0.998385
0.375 1 0.997583
0.4375 1 0.99607
0.5 1 0.993847
0.25 1.125 0.998275
0.3125 1.125 0.997806
0.375 1.125 0.996907
0.4375 1.125 0.995577
0.5 1.125 0.993816
0.25 1.25 0.998274
0.3125 1.25 0.997654
0.375 1.25 0.996835
0.4375 1.25 0.995817
0.5 1.25 0.994599
0.25 1.375 0.998474
0.3125 1.375 0.997928
0.375 1.375 0.997367
0.4375 1.375 0.99679
0.5 1.375 0.996197
0.25 1.5 0.998876
0.3125 1.5 0.99863
0.375 1.5 0.998503
0.4375 1.5 0.998497
0.5 1.5 0.99861
ZONE I=5, J=5
0.5 1 0.993847
0.5625 1 0.985256
0.625 1 0.97429
0.6875 1 0.960949
0.75 1 0.945234
0.5 1.125 0.993816
0.5625 1.125 0.989862
0.625 1.125 0.985266
0.6875 1.125 0.980029
0.75 1.125 0.974149
0.5 1.25 0.994599
0.5625 1.25 0.993592
0.625 1.25 0.99292
0.6875 1.25 0.992582
0.75 1.25 0.992579
0.5 1.375 0.996197
0.5625 1.375 0.996447
0.625 1.375 0.997251
0.6875 1.375 0.99861
0.75 1.375 1.00052
0.5 1.5 0.99861
0.5625 1.5 0.998426
0.625 1.5 0.99826
0.6875 1.5 0.998113
0.75 1.5 0.997985
ZONE I=5, J=5
0.75 1 0.945234
0.8125 1 0.94191
0.875 1 0.910195
0.9375 1 0.850089
1 1 0.761594
0.75 1.125 0.974149
0.8125 1.125 0.972653
0.875 1.125 0.958853
0.9375 1.125 0.932751
1 1.125 0.894345
0.75 1.25 0.992579
0.8125 1.25 0.992481
0.875 1.25 0.990023
0.9375 1.25 0.985205
1 1.25 0.978026
0.75 1.375 1.00052
0.8125 1.375 1.0014
0.875 1.375 1.0037
0.9375 1.375 1.00745
1 1.375 1.01264
0.75 1.5 0.997985
0.8125 1.5 0.999395
0.875 1.5 0.999897
0.9375 1.5 0.999491
1 1.5 0.998178
ZONE I=5, J=5
0 1.5 1
0.0625 1.5 0.99974
0.125 1.5 0.999466
0.1875 1.5 0.999177
0.25 1.5 0.998876
0 1.625 1
0.0625 1.625 0.999814
0.125 1.625 0.99963
0.1875 1.625 0.999447
0.25 1.625 0.999265
0 1.75 1
0.0625 1.75 0.999882
0.125 1.75 0.999773
0.1875 1.75 0.999673
0.25 1.75 0.999583
0 1.875 1
0.0625 1.875 0.999944
0.125 1.875 0.999897
0.1875 1.875 0.999858
0.25 1.875 0.999828
0 2 1
0.0625 2 1
0.125 2 1
0.1875 2 1
0.25 2 1
ZONE I=5, J=5
0.25 1.5 0.998876
0.3125 1.5 0.99863
0.375 1.5 0.998503
0.4375 1.5 0.998497
0.5 1.5 0.99861
0.25 1.625 0.999265
0.3125 1.625 0.99912
0.375 1.625 0.999029
0.4375 1.625 0.998993
0.5 1.625 0.999012
0.25 1.75 0.999583
0.3125 1.75 0.999512
0.375 1.75 0.999454
0.4375 1.75 0.999409
0.5 1.75 0.999377
0.25 1.875 0.999828
0.3125 1.875 0.999805
0.375 1.875 0.999777
0.4375 1.875 0.999744
0.5 1.875 0.999706
0.25 2 1
0.3125 2 1
0.375 2 1
0.4375 2 1
0.5 2 1
ZONE I=5, J=5
0.5 1.5 0.99861
0.5625 1.5 0.998426
0.625 1.5 0.99826
0.6875 1.5 0.998113
0.75 1.5 0.997985
0.5 1.625 0.999012
0.5625 1.625 0.998949
0.625 1.625 0.998923
0.6875 1.625 0.998934
0.75 1.625 0.998982
0.5 1.75 0.999377
0.5625 1.75 0.999386
0.625 1.75 0.999434
0.6875 1.75 0.999522
0.75 1.75 0.99965
0.5 1.875 0.999706
0.5625 1.875 0.999736
0.625 1.875 0.999793
0.6875 1.875 0.999877
0.75 1.875 0.999989
0.5 2 1
0.5625 2 1
0.625 2 1
0.6875 2 0.999999
0.75 2 0.999999
ZONE I=5, J=5
0.75 1.5 0.997985
0.8125 1.5 0.999395
0.875 1.5 0.999897
0.9375 1.5 0.999491
1 1.5 0.998178
0.75 1.625 0.998982
0.8125 1.625 0.999529
0.875 1.625 0.999749
0.9375 1.625 0.999641
1 1.625 0.999206
0.75 1.75 0.99965
0.8125 1.75 0.999675
0.875 1.75 0.999717
0.9375 1.75 0.999775
1 1.75 0.99985
0.75 1.875 0.999989
0.8125 1.875 0.999831
0.875 1.875 0.999799
0.9375 1.875 0.999892
1 1.875 1.00011
0.75 2 0.999999
0.8125 2 0.999999
0.875 2 0.999996
0.9375 2 0.999993
1 2 0.999988
